user_id,PointID,event_type,eventTimeStamp,org_axis,new_axis
6800865064849,,axis_x,2023-08-01 22:18:02.184000,,Engine Size (l)
6800865064849,,axis_y,2023-08-01 22:18:12.098000,,Engine Size (l)
6800865064849,,axis_x,2023-08-01 22:18:39.372000,Engine Size (l),Weight
6800865064849,,axis_y,2023-08-01 22:18:54.757000,Engine Size (l),City MPG
6800865064849,,axis_y,2023-08-01 22:18:56.842000,City MPG,Hwy MPG
6800865064849,,axis_y,2023-08-01 22:18:58.518000,Hwy MPG,Engine Size (l)
6800865064849,,zoom,2023-08-01 22:19:16.305000,,
6800865064849,,zoom,2023-08-01 22:19:16.428000,,
6800865064849,,zoom,2023-08-01 22:19:16.845000,,
6800865064849,,zoom,2023-08-01 22:19:16.972000,,
6800865064849,5,hover,2023-08-01 22:19:20.486000,,
6800865064849,5,hover,2023-08-01 22:19:21.688000,,
6800865064849,19,hover,2023-08-01 22:19:23.013000,,
6800865064849,,axis_y,2023-08-01 22:19:24.939000,Weight,Engine Size (l)
6800865064849,26,click,2023-08-01 22:19:25.345000,,
6800865064849,,zoom,2023-08-01 22:19:25.358000,,
6800865064849,26,hover,2023-08-01 22:19:25.608000,,
6800865064849,,zoom,2023-08-01 22:19:26.859000,,
6800865064849,26,click,2023-08-01 22:19:27.634000,,
6800865064849,,zoom,2023-08-01 22:19:27.646000,,
6800865064849,26,hover,2023-08-01 22:19:27.810000,,
6800865064849,,zoom,2023-08-01 22:19:28.200000,,
6800865064849,,zoom,2023-08-01 22:19:28.428000,,
6800865064849,,zoom,2023-08-01 22:19:28.561000,,
6800865064849,,zoom,2023-08-01 22:19:28.795000,,
6800865064849,,zoom,2023-08-01 22:19:28.916000,,
6800865064849,,zoom,2023-08-01 22:19:29.033000,,
6800865064849,,zoom,2023-08-01 22:19:29.154000,,
6800865064849,16,hover,2023-08-01 22:19:42.986000,,
6800865064849,12,hover,2023-08-01 22:19:45.338000,,
6800865064849,2,hover,2023-08-01 22:19:46.999000,,
6800865064849,22,hover,2023-08-01 22:19:50.107000,,
6800865064849,5,hover,2023-08-01 22:19:54.230000,,
6800865064849,15,hover,2023-08-01 22:19:57.706000,,
6800865064849,15,click,2023-08-01 22:19:59.121000,,
6800865064849,,zoom,2023-08-01 22:19:59.200000,,
6800865064849,15,hover,2023-08-01 22:19:59.464000,,
6800865064849,4,click,2023-08-01 22:20:01.349000,,
6800865064849,,zoom,2023-08-01 22:20:01.362000,,
6800865064849,4,hover,2023-08-01 22:20:01.833000,,
6800865064849,28,hover,2023-08-01 22:20:01.961000,,
6800865064849,27,hover,2023-08-01 22:20:03.490000,,
